code;libelle
476;CHARGES CONSTATEES D'AVANCE
477;PRODUITS CONSTATES D'AVANCE
478;ECARTS DE CONVERSION-ACTIF
4781;Diminution des créances
4782;Augmentation des dettes
4788;Différences compensées par couverture de change
479;ECARTS DE CONVERSION – PASSIF
4791;Augmentation des créances
4792;Diminution des dettes
4798;Différences compensées par couverture de change
48;Créances et dettes hors activités ordinaires
481;FOURNISSEURS D'INVESTISSEMENTS
4811;Immobilisations incorporelles
4812;Immobilisations corporelles
4813;Versements restant à effectuer sur titres de participation et titres immobilisés non libérés
4817;Retenues de garantie
4818;Factures non parvenues
482;FOURNISSEURS D'INVESTISSEMENTS EFFETS A PAYER
484;AUTRES DETTES HORS ACTIVITES ORDINAIRES (H.A.O.)
485;CREANCES SUR CESSIONS D'IMMOBILISATIONS
4851;en compte
4852;Effets à recevoir
4857;Retenues de garantie
4858;Factures à établir
488;AUTRES CREANCES HORS ACTIVITES ORDINAIRES (H.A.O.)
49;Dépréciations et provisions pour risques à court terme (Tiers)
490;DÉPRÉCIATIONS DES COMPTES FOURNISSEURS
491;DEPRECIATIONS DES COMPTES CLIENTS
4911;Créances litigieuses
4912;Créances douteuses
492;DEPRECIATIONS DES COMPTES PERSONNEL
493;DEPRECIATIONS DES COMPTES ORGANISMES SOCIAUX
494;DÉPRÉCIATIONS DES COMPTES ÉTAT ET COLLECTIVITÉS PUBLIQUES
495;DEPRECIATIONS DES COMPTES ORGANISMES INTERNATIONAUX
496;DEPRECIATIONS DES COMPTES APPORTEURS ASSOCIES ET GROUPE
4962;Associés, comptes courants
4963;Associés, opérations faites en commun
4966;Groupe, comptes courants
497;DEPRECIATIONS DES COMPTES DEBITEURS DIVERS
498;DEPRECIATIONS DES COMPTES DE CREANCES H.A.O.
4981;Créances sur cessions d'immobilisations
4982;Créances sur cessions de titres de placement
4983;Autres créances H.A.O.
499;PROVISIONS POUR RISQUES A COURT TERME
4991;sur opérations d'exploitation
4998;sur opérations H.A.O.
5;COMPTES DE TRÉSORERIE
50;Titres de placement
501;TITRES DU TRESOR ET BONS DE CAISSE A COURT TERME
5011;Titres du Trésor à court terme
5012;Titres d'organismes financiers
5013;Bons de caisse à court terme
5016;Frais d'acquisition des titres du trésor et bons de caisse
502;ACTIONS
5021;Actions ou parts propres
5022;Actions cotées
5023;Actions non cotées
5024;Actions démembrées (certificats d'investissement ; droits de vote)
5025;Autres actions
5026;Frais d'acquisition des actions
503;OBLIGATIONS
5031;Obligations émises par la société et rachetées par elle
5032;Obligations cotées
5033;Obligations non cotées
5035;Autres obligations
5036;Frais d'acquisition des obligations
504;BONS DE SOUSCRIPTION
5042;Bons de souscription d'actions
5043;Bons de souscription d'obligations
505;TITRES NEGOCIABLES HORS REGION
506;INTERÊTS COURUS
5061;Titres du Trésor et bons de caisse à court terme
5062;Actions
5063;Obligations
508;AUTRES VALEURS ASSIMILEES
51;Valeurs à encaisser
511;EFFETS A ENCAISSER
512;EFFETS A L'ENCAISSEMENT
513;CHEQUES A ENCAISSER
514;CHEQUES A L'ENCAISSEMENT
515;CARTES DE CREDIT A ENCAISSER
518;AUTRES VALEURS A L'ENCAISSEMENT
5181;Warrants
5182;Billets de fonds
5185;Chèques de voyage
5186;Coupons échus
5187;Intérêts échus des obligations
52;Banques
521;BANQUES LOCALES
5211;Banque X
5212;Banque Y
522;BANQUES AUTRES ETATS REGION
523;BANQUES AUTRES ETATS ZONE MONETAIRE
524;BANQUES HORS ZONE MONETAIRE
525;BANQUES DEPOT A TERME
526;BANQUES, INTERET COURUS
53;Etablissements financiers et assimilés
531;CHEQUES POSTAUX
532;TRESOR
533;SOCIETES DE GESTION ET D'INTERMEDIATION (S.G.I.)
536;ETABLISSEMENTS FINANCIERS, INTERETS COURUS
5361;Etablissements financiers, intérêts courus, charges à payer
5367;Etablissements financiers, intérêts courus produits à recevoir
538;AUTRES ORGANISMES FINANCIERS
54;INSTRUMENTS DE TRÉSORERIE
541;OPTIONS DE TAUX D'INTERÊT
542;OPTIONS DE TAUX DE CHANGE
543;OPTIONS DE TAUX BOURSIERS
544;INSTRUMENTS DE MARCHES A TERME
545;AVOIRS D'OR ET AUTRES METAUX PRECIEUX
55;Instruments de monnaie électronique
551;MONNAIE ELECTRONIQUE – CARTE CARBURANT
552;MONNAIE ELECTRONIQUE – TELEPHONE PORTABLE
553;MONNAIE ELECTRONIQUE – CARTE PEAGE
554;PORTE-MONNAIE ELECTRONIQUE
5561;Banques, intérêts courus, charges à payer
558;AUTRES INSTRUMENTS DE MONNAIE ELECTRONIQUE
56;Banques, crédits de trésorerie et d'escompte
561;CREDITS DE TRESORERIE
564;ESCOMPTE DE CREDITS DE CAMPAGNE
565;ESCOMPTE DE CREDITS ORDINAIRES
566;CREDITS DE TRESORERIE, INTERETS COURUS
5667;Banques, intérêts courus, produits à recevoir
57;Caisse
571;CAISSE SIEGE SOCIAL
5711;Caisse en monnaie nationale
5712;en devises
572;CAISSE SUCCURSALE A
5721;en monnaie nationale
5722;en devises
573;CAISSE SUCCURSALE B
5731;en monnaie nationale
5732;en devises
58;Régies d'avances, accréditifs et virements internes
581;REGIES D'AVANCE
582;ACCREDITIFS
585;VIREMENTS DE FONDS
588;AUTRES VIREMENTS INTERNES
59;Dépréciations et provisions pour risques à court terme (Trésorerie)
590;DÉPRÉCIATIONS DES TITRES DE PLACEMENT
591;DEPRECIATIONS DES TITRES ET VALEURS A ENCAISSER
592;DEPRECIATIONS DES COMPTES BANQUES
593;DEPRECIATIONS DES COMPTES ETABLISSEMENTS FINANCIERS ET ASSIMILES
594;DEPRECIATIONS DES COMPTES D'INSTRUMENTS DE TRESORERIE
599;PROVISIONS POUR RISRQUES A COURT TERME A CARACTERE FINANCIER
6;COMPTES DE CHARGES DES ACTIVITÉS ORDINAIRES
60;(sauf 603) Achats
601;ACHATS DE MARCHANDISES
6011;dans la Région
6012;hors Région
6013;aux entités du groupe dans la Région
6014;aux entités du groupe hors Région
6015;Frais sur achats
6019;Rabais, Remises et Ristournes obtenus (non ventilés)
602;ACHATS DE MATIERES PREMIERES ET FOURNITURES LIEES
6021;dans la Région
6022;hors Région
6023;aux entités du groupe dans la Région
6024;aux entités du groupe hors Région
6025;Frais sur Achats
6029;Rabais, Remises et Ristournes obtenus (non ventilés)
603;VARIATIONS DES STOCKS DE BIENS ACHETÉS
6031;Variations des stocks de marchandises
6032;Variations des stocks de matières premières et fournitures liées
6033;Variations des stocks d'autres approvisionnements
604;ACHATS STOCKES DE MATIERES ET FOURNITURES CONSOMMABLES
6041;Matières consommables
6042;Matières combustibles
6043;Produits d'entretien
6044;Fournitures d'atelier et d'usine
6045;Frais sur Achats
6046;Fournitures de magasin
6047;Fournitures de bureau
6049;Rabais, Remises et Ristournes obtenus (non ventilés)
605;AUTRES ACHATS
6051;Fournitures non stockables-Eau
6052;Fournitures non stockables – Electricité
6053;Fournitures non stockables – Autres énergies
6054;Fournitures d'entretien non stockables
6055;Fournitures de bureau non stockables
6056;Achats de petit matériel et outillage
6057;Achats d'études et prestations de service
6058;Achats de travaux, matériels et équipements
6059;Rabais, Remises et Ristournes obtenus (non ventilés)
608;ACHATS D'EMBALLAGES
6081;Emballages perdus
6082;Emballages récupérables non identifiables
6083;Emballages à usage mixte
6085;Frais sur achats
6089;Rabais, Remises et Ristournes obtenus (non ventilés)
61;Transports
611;TRANSPORTS SUR ACHATS
612;TRANSPORTS SUR VENTES
613;TRANSPORTS POUR LE COMPTE DE TIERS
614;TRANSPORTS DU PERSONNEL
616;TRANSPORT DE PLIS
618;AUTRES FRAIS DE TRANSPORT
6181;Voyages et déplacements
6182;Transports entre établissements ou chantiers
6183;Transports entre établissements ou chantiers
62;SERVICES EXTÉRIEURS
621;SOUS-TRAITANCE GENERALE
622;LOCATIONS ET CHARGES LOCATIVES
6221;Locations de terrains
6222;Locations de bâtiments
6223;Locations de matériels et outillages
6224;Malis sur emballages
6225;Locations d'emballages
6226;Fermages et loyers du foncier
6228;Locations et charges locatives diverses
623;REDEVANCES DE LOCATION ACQUISITION
6232;Crédit-bail immobilier
6233;Crédit-bail mobilier
6234;location vente
6235;Autres contrats de location acquisition
624;ENTRETIEN, REPARATIONS ET MAINTENANCE
6241;Entretien et réparations des biens immobiliers
6242;Entretien et réparations des biens mobiliers
6243;Maintenance
6248;Autres entretiens et réparations
625;PRIMES D'ASSURANCE
6251;Assurances multirisques
6252;Assurances matériel de transport
6253;Assurances risques d'exploitation
6254;Assurances responsabilité du producteur
6255;Assurances insolvabilité clients
6257;Assurances transports sur ventes
6258;Autres primes d'assurances
626;ETUDES, RECHERCHES ET DOCUMENTATION
6261;Etudes et recherches
6265;Documentation générale
6266;Documentation technique
627;PUBLICITE, PUBLICATIONS, RELATIONS PUBLIQUES
6271;Annonces, insertions
6272;Catalogues, imprimés publicitaires
6273;Echantillons
6274;Foires et expositions
6275;Publications
6276;Cadeaux à la clientèle
6277;Frais de colloques, séminaires, conférences
6278;Autres charges de publicité et relations publiques
628;FRAIS DE TELECOMMUNICATIONS
6281;Frais de téléphone
6282;Frais de télex
6283;Frais de télécopie
6288;Autres frais de télécommunications
63;AUTRES SERVICES EXTÉRIEURS
631;FRAIS BANCAIRES
6311;Frais sur titres (, vente, garde)
6312;Frais sur effets
6313;Location de coffres
6314;Commissions d' affacturage
6315;Commissions sur cartes de crédit
6316;Frais d'émission d'emprunts
6317;Frais sur instruments monétaires électroniques
6318;Autres frais bancaires
632;REMUNERATIONS D'INTERMEDIAIRES ET DE CONSEILS
6322;Commissions et courtages sur ventes
6324;Honoraires des professions règlementées
6325;Frais d'actes et de contentieux
6327;Rémunérations des autres prestataires de services
6328;Divers frais
633;FRAIS DE FORMATION DU PERSONNEL
634;REDEVANCES POUR BREVETS, LICENCES, MARQUES, LOGICIELS, SITES, CONCESSIONS ET DROITS ET VALEURS SIMILAIRES
6342;Redevances pour brevets, licences
6343;Redevances pour logiciels
6344;Redevances pour marques
6345;Redevances pour sites
6346;Redevances pour concessions, droits et valeurs similaires
635;COTISATIONS
6351;Cotisations
6358;Concours divers
637;REMUNERATIONS DE PERSONNEL EXTERIEUR A L'ENTITE
6371;Personnel intérimaire
6372;Personnel détaché ou prêté à l'entité
638;AUTRES CHARGES EXTERNES
6381;Frais de recrutement du personnel
6382;Frais de déménagement
6383;Réceptions
6384;Missions
64;Impôts et taxes
641;IMPÔTS ET TAXES DIRECTS
6411;Impôts fonciers et taxes annexes
6412;Patentes, licences et taxes annexes
6413;Taxes sur appointements et salaires
6414;Taxes d'apprentissage
6415;Formation professionnelle continue
6418;Autres impôts et taxes directs
645;IMPÔTS ET TAXES INDIRECTS
646;DROITS D'ENREGISTREMENT
6461;Droits de mutation
6462;Droits de timbre
6463;Taxes sur les véhicules de société
6464;Vignettes
6468;Autres droits
647;PENALITES ET AMENDES FISCALES
6471;Pénalités d'assiette, impôts directs
6472;Pénalités d'assiette, impôts indirects
6473;Pénalités de recouvrement, impôts directs
6474;Pénalités de recouvrement, impôts indirects
6478;Autres amendes pénales et fiscales
648;AUTRES IMPÔTS ET TAXES
65;Autres charges (sauf 659)
651;PERTES SUR CREANCES CLIENTS ET AUTRES DEBITEURS
6511;Clients
6515;Autres débiteurs
652;QUOTE-PART DE RESULTAT SUR OPERATIONS FAITES EN COMMUN
6521;Quote-part transférée de bénéfices (comptabilité du gérant)
6525;Pertes imputées par transfert (comptabilité des associés non gérants)
654;VALEURS COMPTABLES DES CESSIONS COURANTES D'IMMOBILISATIONS
658;CHARGES DIVERSES
6581;Indemnités de fonction et autres rémunérations d'administrateurs
6582;Dons
6583;Mécénat
6588;Autres charges diverses
659;CHARGES POUR DÉPRÉCIATIONS ET PROVISIONS POUR RISQUES A COURT TERME D'EXPLOITATION
6591;sur risques à court terme
6593;sur stocks
6594;sur créances
6598;Autres charges pour dépréciations et provisions pour risques à court terme
66;CHARGES DE PERSONNEL
661;REMUNERATIONS DIRECTES VERSEES AU PERSONNEL NATIONAL
6611;Appointements, salaires et commissions
6612;Primes et gratifications
6613;Congés payés
6614;Indemnités de préavis, de licenciement et de recherche d'embauche
6615;Indemnités de maladie versées aux travailleurs
6616;Supplément familial
6617;Avantages en nature
6618;Autres rémunérations directes
662;REMUNERATIONS DIRECTES VERSEES AU PERSONNEL NON NATIONAL
6621;Appointements, salaires et commissions
6622;Primes et gratifications
6623;Congés payés
6624;Indemnités de préavis, de licenciement et de recherche d'embauche
6625;Indemnités de maladie versées aux travailleurs
6626;Supplément familial
6627;Avantages en nature
6628;Autres rémunérations directes
663;INDEMNITES FORFAITAIRES VERSEES AU PERSONNEL
6631;Indemnités de logement
6632;Indemnités de représentation
6633;Indemnités d'expatriation
6638;Autres indemnités et avantages divers
664;CHARGES SOCIALES
6641;Charges sociales sur rémunération du personnel national
6642;Charges sociales sur rémunération du personnel non national
666;RÉMUNÉRATION ET CHARGES SOCIALES DE L'EXPLOITANT INDIVIDUEL
6661;Rémunération du travail de l'exploitant
6662;Charges sociales
667;RÉMUNÉRATION TRANSFÉRÉE DE PERSONNEL EXTÉRIEUR
6671;Personnel intérimaire
6672;Personnel détaché ou prêté à l'entité
668;AUTRES CHARGES SOCIALES
6681;Versements aux Syndicats et Comités d'entreprise, d'établissement
6682;Versements aux Comités d'hygiène et de sécurité
6683;Versements aux autres œuvres sociales
6684;Médecine du travail et pharmacie
6685;Assurances et organismes de santé
6686;Assurances retraite et fonds de pension
67;Frais financiers et charges assimilées
671;INTERÊTS DES EMPRUNTS
6711;Emprunts obligataires
6712;Emprunts auprès des établissements de crédit
6713;Dettes liées à des participations
6714;Primes de remboursement des obligations
672;INTERÊTS DANS LOYERS DE LOCATION ACQUISITION
6721;Intérêts dans loyers de location acquisition / crédit-bail immobilier
6722;Intérêts dans loyers de location acquisition / crédit-bail mobilier
6723;Intérêts dans loyers de location acquisition / location vente
6724;Intérêts dans loyers des autres contrats
673;ESCOMPTES ACCORDES
674;AUTRES INTERÊTS
6741;Avances reçues et dépôts créditeurs
6742;Comptes courants bloqués
6743;Intérêts sur obligations cautionnées
6744;Intérêts sur dettes commerciales
6745;Intérêts bancaires et sur opérations de trésorerie et d'escompte
6748;Intérêts sur dettes diverses
675;ESCOMPTES DES EFFETS DE COMMERCE
676;PERTES DE CHANGE
677;PERTES SUR TITRES DE PLACEMENT
6771;Pertes sur cessions de titres de placement
6772;Malis provenant d'attribution gratuite d'actions au personnel salarié et aux dirigeants
678;PERTES SUR RISQUES FINANCIERS
6781;sur rentes viagères
6782;sur opérations financières
6784;sur instruments de trésorerie
679;CHARGES POUR DEPRECIATIONS ET PROVISIONS POUR RISQUES A COURT TERME FINANCIERES
6791;Charges pour dépréciations et provisions pour risques à court terme financières
6795;sur titres de placement
6798;Autres charges pour dépréciations et provisions pour risques à court terme financières
68;Dotations aux amortissements
681;DOTATIONS AUX AMORTISSEMENTS D'EXPLOITATION
6812;Dotations aux amortissements des immobilisations incorporelles
6813;Dotations aux amortissements des immobilisations corporelles
687;DOTATIONS AUX AMORTISSEMENTS A CARACTERE FINANCIER
69;Dotations aux provisions et aux dépréciations
691;DOTATIONS AUX PROVISIONS ET AUX DEPRECIATIONS D'EXPLOITATION
6911;pour risques et charges
6913;des immobilisations incorporelles
6914;des immobilisations corporelles
697;DOTATIONS AUX PROVISIONS ET AUX DEPRECIATIONS FINANCIERES
6971;pour risques et charges
6972;des immobilisations financières
7;COMPTES DE PRODUITS DES ACTIVITÉS ORDINAIRES
70;Ventes
701;VENTES DE MARCHANDISES
7011;dans la Région
7012;hors Région
7013;aux entités du groupe dans la Région
7014;aux entités du groupe hors Région
7015;sur internet
702;VENTES DE PRODUITS FINIS
7021;dans la Région
7022;hors Région
7023;aux entités du groupe dans la Région
7024;aux entités du groupe hors Région
7025;sur internet
703;VENTES DE PRODUITS INTERMEDIAIRES
7031;dans la Région
7032;hors Région
7033;aux entités du groupe dans la Région
7034;aux entités du groupe hors Région
7035;sur internet
704;VENTES DE PRODUITS RESIDUELS
7041;dans la Région
7042;hors Région
7043;aux entités du groupe dans la Région
7044;aux entités du groupe hors Région
7045;sur internet
705;TRAVAUX FACTURES
7051;dans la Région
7052;hors Région
7053;aux entités du groupe dans la Région
7054;aux entités du groupe hors Région
7055;sur internet
706;SERVICES VENDUS
7061;dans la Région
7062;hors Région
7063;aux entités du groupe dans la Région
7064;aux entités du groupe hors Région
7065;sur internet
707;PRODUITS ACCESSOIRES
7071;Ports, emballages perdus et autres frais facturés
7072;Commissions et courtages
7073;Locations
7074;Bonis sur reprises et cessions d'emballage
7075;Mise à disposition de personnel
7076;Redevances pour brevets, logiciels, marques et droits similaires
7077;Services exploités dans l'intérêt du personnel
7078;Autres produits accessoires
71;Subventions d'exploitation
711;SUR PRODUITS A L'EXPORTATION
712;SUR PRODUITS A L'IMPORTATION
713;SUR PRODUITS DE PEREQUATION
718;AUTRES SUBVENTIONS D'EXPLOITATION
7181;Versées par l'Etat et les collectivités publiques
7182;Versées par les organismes internationaux
7183;Versées par des tiers
72;Production immobilisée
721;Immobilisations incorporelles
722;Immobilisations corporelles
724;Production auto-consommée
726;Immobilisations financières
73;Variations des stocks de biens et services produits
734;VARIATIONS DES STOCKS DE PRODUITS EN COURS
7341;Produits en cours
7342;Travaux en cours
735;VARIATIONS DES EN-COURS DE SERVICES
7351;Etudes en cours
7352;Prestations de services en cours
736;VARIATIONS DES STOCKS DE PRODUITS FINIS
737;VARIATIONS DES STOCKS DE PRODUITS INTERMEDIAIRES ET RESIDUELS
7371;Produits intermédiaires
7372;Produits résiduels
75;Autres produits (sauf compte 759)
752;QUOTE-PART DE RESULTAT SUR OPERATIONS FAITES EN COMMUN
7521;Quote-part transférée de pertes (comptabilité du gérant)
7525;Bénéfices attribués par transfert (comptabilité des associés non gérants)
754;PRODUITS DES CESSIONS COURANTES D'IMMOBILISATIONS
758;PRODUITS DIVERS
7581;Indemnités de fonction et autres rémunérations
7582;Indemnités d'assurances reçues
7588;Autres produits divers
759;REPRISES DE CHARGES POUR DEPRECIATIONS ET PROVISIONS A COURT TERME D'EXPLOITATION
7591;sur risques à court terme
7593;sur les stocks
7594;sur les créances
7598;sur autres charges pour dépréciations et provisions pour risques à court terme
77;Revenus financiers et produits assimilés
771;INTERETS DE PRÊTS ET CREANCES DIVERSES
7712;Intérêts de prêts
7713;Intérêts sur créances diverses
772;REVENUS DE PARTICIPATIONS ET AUTRES CREANCES IMMOBILISES
7721;Revenus des titres de participation
7722;Revenus des autres titres immobilisés
773;ESCOMPTES OBTENUS
774;REVENUS DE PLACEMENT
7745;Revenus des obligations
7746;Revenus des titres de placement
775;INTERETS DANS LOYERS DE LOCATION ACQUISITION
776;GAINS DE CHANGE
777;GAINS SUR CESSIONS DE TITRES DE PLACEMENT
778;GAINS SUR RISQUES FINANCIERS
7781;sur rentes viagères
7782;sur opérations financières
7784;sur instruments de trésorerie
779;REPRISES DE CHARGES POUR DÉPRÉCIATIONS ET PROVISIONS POUR RISQUES À COURT TERME FINANCIERES
7791;sur risques financiers
7795;sur titres de placement
7798;sur Autres charges pour dépréciations et provisions pour risques à court terme financières
78;Transferts de charges
781;TRANSFERTS DE CHARGES D'EXPLOITATION
787;TRANSFERTS DE CHARGES FINANCIERES
79;Reprises de provisions, dépréciations et autres
791;REPRISES DE PROVISIONS ET DE DEPRECIATIONS D'EXPLOITATION
7911;pour risques et charges
7913;des immobilisations incorporelles
7914;des immobilisations corporelles
797;Reprises de provisions et de dépréciations financières
7971;pour risques et charges
7972;des immobilisations financières
798;REPRISES D'AMORTISSEMENTS
799;REPRISES DE SUBVENTIONS D'INVESTISSEMENT
8;COMPTES DES AUTRES CHARGES ET DES AUTRES PRODUITS
81;Valeurs comptables des cessions d'immobilisations
811;IMMOBILISATIONS INCORPORELLES
812;IMMOBILISATIONS CORPORELLES
816;IMMOBILISATIONS FINANCIERES
82;Produits des cessions d'immobilisations
821;IMMOBILISATIONS INCORPORELLES
822;IMMOBILISATIONS CORPORELLES
826;IMMOBILISATIONS FINANCIERES
83;Charges hors activités ordinaires
831;CHARGES H.A.O. CONSTATEES
833;CHARGES LIEES AUX OPERATIONS DE RESTRUCTURATION
834;PERTES SUR CRÉANCES H.A.O.
835;DONS ET LIBÉRALITÉS ACCORDÉS
836;Abandons de créances consentis
837;CHARGES LIEES AUX OPERATIONS DE LIQUIDATION
839;CHARGES POUR DEPRECIATIONS ET PROVISIONS POUR RISQUES A COURT TERME H.A.O.
84;Produits hors activités ordinaires
841;PRODUITS H.A.O. CONSTATES
843;PRODUITS LIES AUX OPERATIONS DE RESTRUCTURATION
845;DONS ET LIBÉRALITÉS OBTENUS
846;ABANDONS DE CREANCES OBTENUS
847;PRODUITS LIES AUX OPERATIONS DE LIQUIDATION
848;TRANSFERTS DE CHARGES H.A.O.
849;REPRISES DE CHARGES POUR DEPRECIATIONS ET PROVISIONS POUR RISQUES A COURT TERME H.A.O.
85;Dotations hors activités ordinaires
851;DOTATIONS AUX PROVISIONS REGLEMENTEES
852;DOTATIONS AUX AMORTISSEMENTS H.A.O.
853;DOTATIONS AUX DEPRECIATIONS H.A.O.
854;DOTATIONS AUX PROVISIONS POUR RISQUES ET CHARGES H.A.O.
858;AUTRES DOTATIONS H.A.O.
86;Reprises de charges, provisions et dépréciations HAO
861;REPRISES DE PROVISIONS REGLEMENTEES
862;REPRISES D'AMORTISSEMENTS H.A.O.
863;REPRISES DE DEPRECIATIONS H.A.O.
864;REPRISES DE PROVISIONS POUR RISQUES ET CHARGES H.A.O.
868;AUTRES REPRISES H.A.O.
87;Participation des travailleurs
871;PARTICIPATION LÉGALE AUX BÉNÉFICES
872;PARTICIPATION CONTRACTUELLE AUX BÉNÉFICES
878;AUTRES PARTICIPATIONS
88;Subventions d'équilibre
881;ETAT
884;COLLECTIVITÉS PUBLIQUES
886;GROUPE
888;AUTRES
89;Impôts sur le résultat
891;IMPÔTS SUR LES BENEFICES DE L'EXERCICE
8911;Activités exercées dans l'Etat
8912;Activités exercées dans les autres Etats de la Région
8913;Activités exercées hors Région
892;RAPPELS D'IMPÔTS SUR RESULTATS ANTERIEURS
895;IMPÔT MINIMUM FORFAITAIRE (I.M.F.)
899;DÉGREVEMENTS ET ANNULATIONS D'IMPÔTS SUR RÉSULTATS ANTÉRIEURS
8991;Dégrèvements
8994;Annulations pour pertes rétroactives
9;COMPTES DES ENGAGEMENTS HORS BILAN ET COMPTES DE LA COMPTABILITÉ ANALYTIQUE DE GESTION
9011;Crédits confirmés obtenus
9012;Emprunts restant à encaisser
9013;Facilités de financement renouvelables
9014;Facilités d'émission
9018;Autres engagements de financement obtenus
9021;Avals obtenus
9022;Cautions, garanties obtenues
9023;Hypothèques obtenues
9024;Effets endossés par des tiers
9028;Autres garanties obtenues
9031;Achats de marchandises à terme
9032;Achats à terme de devises
9033;Commandes fermes des clients
9038;Autres engagements réciproques
9041;Abandons de créances conditionnels
9043;Ventes avec clause de réserve de propriété
9048;Divers engagements obtenus
9051;Crédits accordés non décaissés
9058;Autres engagements de financement accordés
9061;Avals accordés
9062;Cautions, garanties accordées
9063;Hypothèques accordées
9064;Effets endossés par l'entité
9068;Autres garanties accordées
9071;Ventes de marchandises à terme
9072;Ventes à terme de devises
9073;Commandes fermes aux fournisseurs
9078;Autres engagements réciproques
9081;Annulations conditionnelles de dettes
9083;Achats avec clause de réserve de propriété
9088;Divers engagements accordés
914;Contreparties des comptes 901 à 904
915;Contreparties des comptes 905 à 908
9151;Contrepartie du compte 9051 (crédits accordés non décaissés)
9183;Contrepartie du compte 9083 (achats avec clause de réserve de propriété)
92;COMPTES REFLECHIS
93;COMPTES DE RECLASSEMENTS
94;COMPTES DE COÛTS
95;COMPTES DE STOCKS
96;COMPTES D'ECARTS SUR COÛTS PREETABLIS
97;COMPTES DE DIFFERENCES DE TRAITEMENT COMPTABLE
98;COMPTES DE RESULTATS
99;COMPTES DE LIAISONS INTERNES
